timestamp,region,value
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:53,0,3
2020:2:13:12:39:53,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,0
2020:2:13:12:39:54,3,10
2020:2:13:12:39:54,0,0
2020:2:13:12:39:54,3,10
2020:2:13:12:39:54,0,0
2020:2:13:12:39:54,3,10
2020:2:13:12:39:54,0,0
2020:2:13:12:39:54,3,10
2020:2:13:12:39:54,0,0
2020:2:13:12:39:54,3,10
2020:2:13:12:39:54,0,0
2020:2:13:12:39:54,3,10
2020:2:13:12:39:54,0,0
2020:2:13:12:39:54,3,10
2020:2:13:12:39:54,0,0
2020:2:13:12:39:54,3,10
2020:2:13:12:39:54,0,0
2020:2:13:12:39:54,3,10
2020:2:13:12:39:54,0,0
2020:2:13:12:39:54,3,10
2020:2:13:12:39:54,0,0
2020:2:13:12:39:54,3,10
2020:2:13:12:39:54,0,0
2020:2:13:12:39:54,3,10
2020:2:13:12:39:54,0,0
2020:2:13:12:39:54,3,10
2020:2:13:12:39:54,0,0
2020:2:13:12:39:54,3,10
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:54,0,3
2020:2:13:12:39:54,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,3
2020:2:13:12:39:55,3,0
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:55,0,0
2020:2:13:12:39:55,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
